job,structure,environment,batch,kind,resin,pfas,pose,charge,multiplicity,atoms,cpus,mem_gb,gaussian_mem_gb,hours,pilot,input_dir
free_PFBA__water,free_PFBA,water,1,free,,PFBA,,-1,1,13,8,40,30,48,1,inputs/water/free_PFBA
free_PFBA__unsolvated,free_PFBA,unsolvated,1,free,,PFBA,,-1,1,13,8,40,30,48,1,inputs/unsolvated/free_PFBA
free_PFPeA__water,free_PFPeA,water,1,free,,PFPeA,,-1,1,16,8,40,30,48,0,inputs/water/free_PFPeA
free_PFPeA__unsolvated,free_PFPeA,unsolvated,1,free,,PFPeA,,-1,1,16,8,40,30,48,0,inputs/unsolvated/free_PFPeA
free_PFHpA__water,free_PFHpA,water,1,free,,PFHpA,,-1,1,22,8,40,30,48,0,inputs/water/free_PFHpA
free_PFHpA__unsolvated,free_PFHpA,unsolvated,1,free,,PFHpA,,-1,1,22,8,40,30,48,0,inputs/unsolvated/free_PFHpA
free_PFOA__water,free_PFOA,water,1,free,,PFOA,,-1,1,25,8,40,30,48,0,inputs/water/free_PFOA
free_PFOA__unsolvated,free_PFOA,unsolvated,1,free,,PFOA,,-1,1,25,8,40,30,48,0,inputs/unsolvated/free_PFOA
free_PFNA__water,free_PFNA,water,1,free,,PFNA,,-1,1,28,8,40,30,48,0,inputs/water/free_PFNA
free_PFNA__unsolvated,free_PFNA,unsolvated,1,free,,PFNA,,-1,1,28,8,40,30,48,0,inputs/unsolvated/free_PFNA
free_PFOS__water,free_PFOS,water,1,free,,PFOS,,-1,1,29,8,40,30,48,1,inputs/water/free_PFOS
free_PFOS__unsolvated,free_PFOS,unsolvated,1,free,,PFOS,,-1,1,29,8,40,30,48,1,inputs/unsolvated/free_PFOS
A400_Cl__water,A400_Cl,water,1,counterion,A400,,,0,1,28,8,40,30,48,1,inputs/water/A400_Cl
A400_Cl__unsolvated,A400_Cl,unsolvated,1,counterion,A400,,,0,1,28,8,40,30,48,1,inputs/unsolvated/A400_Cl
